Dierenzoeker,,,,KENMERK,lijkt op,leefgebied,seizoen,grootte,kleur,patroon,vorm,huid,ogen,spriet,bek,aantal poten,soort poten,vleugels,achterlijf,gedrag,BEGINLETTER,naam SCI,naam NL,thumbnail,illustratie soortpagina
270,Grote aardslak,,,gewone wegslak;gevlekte akkerslak;,slak of schelp;worm,in de grond;tussen bladeren;op de grond;schuilplek,winter;lente;zomer;herfst,huissleutel;muis,grijs;bruin;zwart; beige,gevlekt;gestreept,lang,naakt;glibberig,ogen op steeltjes,lange sprieten;korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt; beweegt niet,G; A;,Limax maximus,Grote aardslak,http://images.ncbnaturalis.nl/80x80/215321.jpg,
271,Gewone wegslak,,,grote aardslak;gevlekte akkerslak,slak of schelp;worm,in de grond;tussen bladeren;op de grond;schuilplek,winter;lente;zomer;herfst,huissleutel;muis,rood;oranje;grijs;bruin;zwart,effen,lang,naakt;glibberig,ogen op steeltjes,lange sprieten;korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt; beweegt niet,G; W,Arion rufus,Gewone wegslak,http://images.ncbnaturalis.nl/80x80/215319.jpg,
272,Grote glansslak ,,,witgerande tuinslak;barnsteenslak;bronblaashoren;segrijnslak,slak of schelp,in de grond;tussen bladeren;op de grond;schuilplek,winter;lente;zomer;herfst,pinda; euro,grijs;bruin;doorzichtig,effen,rond;met huisje,glad;glibberig; glanzend,ogen op steeltjes,lange sprieten;korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt; beweegt niet,G;,Oxychilus draparnaudi,Grote glansslak ,http://images.ncbnaturalis.nl/80x80/215323.jpg,
273,Gewone haarslak,,,boerenknoopje;grote glansslak,slak of schelp,in de grond;tussen bladeren;op plant;op de grond;schuilplek,winter;lente;zomer;herfst,mier;pinda,bruin;grijs;geel; zwart,effen,rond;met huisje,glad;glibberig;behaard,ogen op steeltjes,lange sprieten;korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt; beweegt niet,G; H,Trochulus hispidus,Gewone haarslak,http://images.ncbnaturalis.nl/80x80/215317.jpg,
274,Steenvlieglarve,,,haftelarve;elzenvlieglarve;waterjufferlarve;tuimelaarlarve,kriebeldier,bij of in het water,winter;lente;zomer;herfst,euro,bruin,effen;gevlekt,lang;dun; uit segmenten,glad;naakt;behaard,insectenogen,lange sprieten,twee kaken,6,met haakjes;lang en dun,geen;niet doorzichtige vleugels,twee draden,kruipt; zwemt; verstopt zich,S; V,Nemoura cinerea,Steenvlieglarve,,
275,Kokerjuffer larve,,,steenvlieglarve;elzenvlieglarve;haft larve (2x);waterjufferlarve,kriebeldier,bij of in het water,winter;lente;zomer;herfst,pinda;euro,bruin,effen,met huisje;uit segmenten,glad,insectenogen,korte sprietem;geen,twee kaken,6,met haakjes;lang en dun,geen,afgerond,beweegt niet; zwemt; kruipt; verstopt zich,K,Limnephilus sp.,Kokerjuffer larve,http://images.ncbnaturalis.nl/80x80/215325.jpg,
276,Gewone oorworm,,,schorpioenvlieg;papiervisje;pseudoschorpioen,kriebeldier,binnen;in de grond;tussen bladeren;op een muur;op de grond;schuilplek,winter;lente;zomer;herfst,euro,bruin;zwart;rood;oranje,effen,lang; dun;uit segmenten,glad; glanzend,insectenogen,lange sprieten,twee kaken,6,met haakjes;lang en dun,geen;doorzichtige vleugels,soort tang,kruipt; loopt; verstopt zich; vliegt,G; O,Forficula auricularia,Gewone oorworm,,
277,Mol,,,gewone bosspitsmuis; huisspitsmuis,zoogdier,in de grond;op de grond,winter;lente;zomer;herfst,muis;merel,zwart; roze,effen,lang; dik,met haren; vacht,geen ogen zichtbaar; ogen zonder pupil,geen,tanden; snuit; mond,4,behaard;nagels,geen,korte staart,graaft; kruipt; schuilt,M,Talpa europaea,Mol,http://images.ncbnaturalis.nl/80x80/215313.jpg,
278,Eekhoorn,,,,zoogdier,in een boom;op de grond,winter;lente;zomer;herfst,merel,rood; bruin; wit; oranje,effen,lang; dun,met haren; vacht,ogen zonder pupil,geen,tanden; mond,4,behaard;nagels,geen,lang staart,loopt; zit; rent; springt,E,Sciurus vulgaris,Eekhoorn,http://images.ncbnaturalis.nl/80x80/215307.jpg,
279,Huisspitsmuis,,,gewone bosspitsmuis;bruine rat;huismuis; mol,zoogdier,op de grond;in struik,winter;lente;zomer;herfst,muis,bruin; grijs,effen,lang; dun; dik,met haren; vacht,ogen zonder pupil,geen,tanden; snuit; mond,4,behaard;nagels,geen,lang staart,loopt; rent; graaft; geluid; springt,H; S,Crocidura russula,Huisspitsmuis,,
280,Gewone bosspitsmuis,,,huisspitsmuis;bosmuis;bruine rat; mol; huismuis,zoogdier,op de grond;in struik; in de grond,winter;lente;zomer;herfst,muis,bruin; zwart; wit; grijs,effen,lang; dun; dik,met haren; vacht,ogen zonder pupil,geen,tanden; snuit; mond,4,behaard;nagels,geen,lang staart,loopt; rent; zwemt; geluid; graaft,G; B,Sorex araneus,Gewone bosspitsmuis,,
281,Bruine rat,,,veldmuis;huismuis;huisspitsmuis,zoogdier,op de grond;in struik; ergens op,winter;lente;zomer;herfst,merel;duif,bruin; wit; grijs; zwart,effen,bolletje; dik; lang; dun,met haren; vacht,ogen zonder pupil,geen,tanden; snuit; mond,4,behaard;nagels,geen,lang staart,loopt; rent; zwemt; springt,B; R,Rattus norvegicus,Bruine rat,,
282,Bosmuis,,,huismuis;veldmuis;gewone bosspitsmuis,zoogdier,binnen;op de grond;in struik,winter;lente;zomer;herfst,muis,bruin; wit; grijs,effen,bolletje; dik; lang; dun,met haren; vacht,ogen zonder pupil,geen,tanden; snuit; mond,4,behaard;nagels,geen,lang staart,loopt; rent; springt,B; M,Apodemus sylvaticus,Bosmuis,,
283,Huismuis,,,veldmuis;bosmuis;huisspitsmuis;bruine rat; gewone bosspitsmuis,zoogdier,binnen;op de grond;in struik,winter;lente;zomer;herfst,muis,bruin; wit; grijs,effen,bolletje; dik; lang; dun,met haren; vacht,ogen zonder pupil,geen,tanden; snuit; mond,4,behaard;nagels,geen,lang staart,loopt; rent; springt; zwemt; geluid,H; M,Mus musculus,Huismuis,,
284,Konijn,,,haas,zoogdier,op de grond;in struik; in de grond,winter;lente;zomer;herfst,duif,bruin; wit; grijs,effen,dik; lang,met haren; vacht,ogen met pupil,geen,tanden; mond,4,behaard;nagels,geen,afgerond; korte staart,loopt; zit; rent; graaft; springt; schuilt,K,Oryctolagus cuniculus,Konijn,,
285,Haas,,,konijn,zoogdier,op de grond;in struik,winter;lente;zomer;herfst,kat,bruin; wit; grijs,effen,dik; dun; lang,met haren; vacht,ogen met pupil,geen,tanden; mond,4,behaard;nagels,geen,afgerond; korte staart,loopt; zit; rent; graaft; springt; schuilt,H,Lepus europaeus,Haas,,
286,Veldmuis,,,bosmuis;huismuis;bruine rat,zoogdier,op de grond;in struik; in de grond; schuilplek,winter;lente;zomer;herfst,muis,bruin; wit,effen,bolletje; dik,met haren; vacht,ogen zonder pupil,geen,tanden; snuit; mond,4,behaard;nagels,geen,kort staart,loopt; rent; graaft,V; M,Microtus arvalis,Veldmuis,,
287,Ree,,,,zoogdier,op de grond;in struik; schuilplek,winter;lente;zomer;herfst,groter dan een kat,bruin; wit,effen; gevlekt,dun; lang,met haren; vacht,ogen met pupil; ogen zonder pupil,geen,tanden; snuit; mond,4,behaard;met hoeven; lang en dun,geen,korte staart,loopt; rent; springt; schuilt; geluid,R,Capreolus capreolus,Ree,,
288,Vos,,,,zoogdier,op de grond;in struik; schuilplek,winter;lente;zomer;herfst,groter dan een kat,bruin; oranje; wit; zwart,effen,dun; lang,met haren; vacht,ogen met pupil,geen,tanden; snuit; mond,4,behaard;nagels,geen,lang staart,loopt; rent; springt; graaft; geluid; schuilt,V,Vulpes vulpes,Vos,,
289,Hermelijn,,,wezel;bruine rat,zoogdier,op de grond;in struik; in de grond; schuilplek,winter;lente;zomer;herfst,duif,bruin; wit; zwart; beige,effen,lang;dun,met haren; vacht,ogen met pupil; ogen zonder pupil,geen,tanden; mond,4,behaard;nagels,geen,lang staart,loopt; springt; rent; geluid; zwemt,H,Mustela erminea,Hermelijn,,
290,Wezel,,,hermelijn;bruine rat,zoogdier,op de grond;in struik; schuilplek; in de grond,winter;lente;zomer;herfst,muis;merel,bruin; wit,effen,lang;dun,met haren; vacht,ogen met pupil; ogen zonder pupil,geen,tanden; mond,4,behaard;nagels,geen,lang staart,loopt; springt; rent; schuilt; geluid,W,Mustela nivalis,Wezel,,
291,Groene specht,,,,vogel,,,,,,,,,,,,,,,,,Picus viridis,Groene specht,,
292,Koperwiek,,,,vogel,,,,,,,,,,,,,,,,,Turdus iliacus,Koperwiek,,
293,Kramsvogel,,,,,,,,,,,,,,,,,,,,,,Kramsvogel,,
294,IJsvogel,,,,vogel,bij of in het water; in struik,hele jaar,muis,zwart; blauw; oranje,effen; onduidelijk; bont,,veren,geen pupil,niks,snavel lang; snavel dun,2,nagels,met veren; gekleurd,staart kort; afgerond,zit stil; geluid; schuilt; vliegt,,Alcedo atthis,IJsvogel,,
